nom_site,adresse,cp,ville,adresse_complete,geo_coordinates,arrondissement
Jardin Du Trocadero,"1, Place Du Onze Novembre 1918",75016,PARIS,"1, Place Du Onze Novembre 1918 75016 PARIS France","48.87599, 2.35926",16
Jardin Porte De Chatillon,"16-26, Rue De Chatillon",75014,PARIS,"16-26, Rue De Chatillon 75014 PARIS France","48.82753, 2.32335",14
Mairie du 10E Arrondissement,"72, Rue Du Faubourg Saint Martin",75010,PARIS,"72, Rue Du Faubourg Saint Martin 75010 PARIS France","48.871818, 2.35722",10
Mairie du 11E Arrondissement,Place Leon Blum,75011,PARIS,Place Leon Blum 75011 PARIS France,"48.858356, 2.379501",11
Mairie du 12E Arrondissement,"130, Avenue Daumesnil",75012,PARIS,"130, Avenue Daumesnil 75012 PARIS France","48.841259, 2.3884",12
Mairie du 18E Arrondissement,"1, Place Jules Joffrin",75018,PARIS,"1, Place Jules Joffrin 75018 PARIS France","48.892448, 2.34473",18
Mairie du 20E Arrondissement,"6, Place Gambetta",75020,PARIS,"6, Place Gambetta 75020 PARIS France","48.865002, 2.39878",20
Mairie du 3E Arrondissement,"2, Rue Eugene Spuller",75003,PARIS,"2, Rue Eugene Spuller 75003 PARIS France","48.864029, 2.36144",03
Mairie du 4E Arrondissement,"2, Place Baudoyer",75004,PARIS,"2, Place Baudoyer 75004 PARIS France","48.856209, 2.35543",04
Maison Du Developpement Economique Du 20eme,"31, Rue De Pixerecourt",75020,PARIS,"31, Rue De Pixerecourt 75020 PARIS France","48.871929, 2.39583",20
Musee Antoine Bourdelle,"16, Rue Antoine Bourdelle",75015,PARIS,"16, Rue Antoine Bourdelle 75015 PARIS France","48.842949, 2.31886",15
Parc Andre Citroen,"5, Rue De La Montagne De La Fage",75015,PARIS,"5, Rue De La Montagne De La Fage 75015 PARIS France","48.840069, 2.27742",15
Parc de Bercy (orangerie),"1, Cour Chamonard",75012,PARIS,"1, Cour Chamonard 75012 PARIS France","48.835124, 2.41756",12
Parc de Choisy,"160, Avenue De Choisy",75013,PARIS,"160, Avenue De Choisy 75013 PARIS France","48.828659, 2.35795",13
Parc des Buttes Chaumont (Bolivar),"1, Rue Botzaris",75019,PARIS,"1, Rue Botzaris 75019 PARIS France","48.876972, 2.38117",19
Parc des Buttes Chaumont,"74, Rue Botzaris",75019,PARIS,"74, Rue Botzaris 75019 PARIS France","48.879532, 2.38847",19
Parc Kellermann,"3, Rue De La Poterne Des Peupliers",75013,PARIS,"3, Rue De La Poterne Des Peupliers 75013 PARIS France","48.820518, 2.35266",13
Square Alleray Labrouste,"92, Rue D'Alleray",75015,PARIS,"92, Rue D'Alleray 75015 PARIS France","48.83633, 2.3087",15
Square Aspirant Dunand,Rue Mouton Duvernet,75014,PARIS,Rue Mouton Duvernet 75014 PARIS France,"48.832031, 2.327424",14
Square Breguet Sabin,"25, Boulevard Richard Lenoir",75011,PARIS,"25, Boulevard Richard Lenoir 75011 PARIS France","48.85706, 2.37062",11
Square La Petite Roquette,"4, Rue Servan",75011,PARIS,"4, Rue Servan 75011 PARIS France","48.8591, 2.38409",11
